what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672370873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672426999
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510672427035
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1510672427298
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1510672429170
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1510672429204
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1510672429206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672430054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672432220
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510672432844
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1510672432851
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510672434722
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1510672434967
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1510672434972
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1510672434973
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1510672434973
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1510672434979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672483160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672484816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672489531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672745229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672747487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672749095
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510672749337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672750857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510672752280
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510672752762
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510672754231
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1510672755329
