what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1510674383552
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1510674383552
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1510674383553
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1510674383553
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1510674383554
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1510674383554
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1510674383554
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1510674383555
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1510674383555
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1510674383556
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1510674383556
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1510674383557
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1510674383557
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1510674383558
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1510674383558
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1510674383558
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1510674383559
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1510674383559
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1510674383559
os,sysinfo,,,"win32",1510674383561
arch,sysinfo,,,"x86",1510674383561
ws,sysinfo,,,"win32",1510674383561
locale,sysinfo,,,"en_GB",1510674383561
processors,sysinfo,,,"8",1510674383561
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510674383561
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1510674383561
java.specification.name,sysinfo,,,"Java Platform API Specification",1510674383561
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510674383561
java.specification.version,sysinfo,,,"1.6",1510674383561
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1510674383561
java.version,sysinfo,,,"1.6.0_23",1510674383561
java.vm.info,sysinfo,,,"mixed mode",1510674383561
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1510674383561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510674383561
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510674383561
java.vm.specification.version,sysinfo,,,"1.0",1510674383561
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1510674383561
java.vm.version,sysinfo,,,"19.0-b09",1510674383561
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1510674383706
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1510674383733
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510674387274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510674395486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510674396918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510674398542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510674406298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510674406431
