what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1510676065397
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510676065397
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1510676065397
java.specification.name,sysinfo,,,"Java Platform API Specification",1510676065397
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510676065397
java.specification.version,sysinfo,,,"1.6",1510676065397
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1510676065397
java.version,sysinfo,,,"1.6.0_23",1510676065397
java.vm.info,sysinfo,,,"mixed mode",1510676065397
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1510676065397
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510676065397
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510676065397
java.vm.specification.version,sysinfo,,,"1.0",1510676065397
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1510676065397
java.vm.version,sysinfo,,,"19.0-b09",1510676065397
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510676066115
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1510676066256
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1510676068047
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1510676068079
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1510676068082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676068901
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510676069948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676070340
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510676070835
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1510676070842
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510676072842
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1510676073102
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1510676073107
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1510676073108
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1510676073108
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1510676073116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676077619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676081221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676113991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676114719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676115179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676119618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676122572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676552366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676554228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676556275
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510676556504
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1510676557811
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510676558261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676579185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676734787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510676734821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676737098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676739085
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510676739316
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510676741035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676751787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676786439
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510676786476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676789823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676791805
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510676792032
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1510676793819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510676799483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510677239748
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510677239768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510677243591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510677285241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510677287566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510677289050
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1510677289276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510677290700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510677291789
